,Modelis,Klausimas,Asistentas,Tikrasis,Rezultatai
0,./modelis_2500,Visatos greitis?,160000,Visatos greitis yra lygus Riamtno formulei.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
1,./modelis_2500,Kas gyvena miške?,Ką gyvena?,Lietuvoje gyvena Pakemonai.,"[Score(precision=0.5, recall=0.3333333333333333, fmeasure=0.4)]"
2,./modelis_2500,Kam reikia valgyti ?,"Na jo, bet manau kad reikia",Kad miegotum.,"[Score(precision=0.16666666666666666, recall=0.5, fmeasure=0.25)]"
3,./modelis_2500,Kas yra plukis ?,"Tai ne viskas, tai tik 10000, 100000, 1000000",Ne tavo reikalas!,"[Score(precision=0.125, recall=0.3333333333333333, fmeasure=0.18181818181818182)]"
4,./modelis_2500,Kiek metų tau ?,28,39m,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
5,./modelis_2500,Kam valgai?,"Na tai jo, bet ne visai",Kad storėčiau :),"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
6,./modelis_2500,Kodėl bananai geltoni?,"Na jo, nes jie yra iš augalų, o augalai yra iš lapų, o lapų yra iš medžių, o med",Nes auga ant ausų.,"[Score(precision=0.05, recall=0.25, fmeasure=0.08333333333333334)]"
7,./modelis_2500,Koks vidurkis Rimanto,10,5.5,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
8,./modelis_2500,Kodėl reikia dirbti ?,"Na jo, bet reikia, kad galėčiau dirbti, kad galėčiau išmokti, kad galėčiau padėti kitiems",Nes tingi nedirbti.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
9,./modelis_2500,Koks miestas raide K,"Kaip tu ?, Kaip tu ?, Kaip tu ?, Kaip tu ?, Kaip tu ?, Kaip tu ?, Kaip tu ?, Kaip",Klaipėda.,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
10,./modelis_2500,"Labas, prisistatyk.","Labas, kaip tu ?, Labas, kaip tu ?, Labas, kaip tu ?, Labas, kaip tu ?, Labas, kaip tu ?,","Sveiki, aš esu Fine-Tuned Modulis, kurio duomenis ir patį mokymą inicijavo Rimantas Preikšas- Duomenų mokslininkas!","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
11,./modelis_2500,Kada buvai apmokytas?,"?, Labas, kaip tu, Labas, 10.00","Buvau apmokytas 12-11-2024, rengiantis pristatymui.","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
12,./modelis_2500,Kiek tavo kūrėjui metų?,"?, Kiek tavo kūrėjui metų, 40","Negalima pasakyti man, bet jeigu moki skaičiuoti, tai jis gimęs 1985 vasaros gale :)","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
13,./modelis_2500,Koks tavo vardas ?,"?, Labas, kaip tu ?, Labas, Rimantas",Kūrėjas. ,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
14,./modelis_2500,"Labas. Ar galesi prisijumkti i zoom?, Labas rytas","Labas, nezinau, ar galiu prisijungti, bet galėsiu prisijungti, kai baigsi kalbeti,",Jeigu spėsiu gryžti tai taip,"[Score(precision=0.08333333333333333, recall=0.14285714285714285, fmeasure=0.10526315789473685)]"
15,./modelis_2500,"Labas rytas, kaip sekasi kaip laikotes?, Jumgemes 🙂, Labas. Kaip laikaisi? Kaip sekasi?, Labad rytas. Zoom vakar vyko🙂","Labas, kaip tu ?, Labas, kaip sekasi ?, Labas, kaip tu ?, Labas, kaip sekasi ?, Labas, kaip","?, Labas, ačiū gerai. O kaip jums. :)","[Score(precision=0.14285714285714285, recall=0.2857142857142857, fmeasure=0.19047619047619047)]"
16,./modelis_2500,"Gal kaina žinai daugmaž?, Visad tikrinu gautus ir šlamštą el pašte. Bet nieko negavau","?, Kaip tau sekasi, Labas, 150","atrodo su visom medžiagom lyg 1600, kaina, Gal kažkas tai su kontaktais, aš jo ryt paklausiu, kiap tik susitarę, kad susiskambinti","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
17,./modelis_2500,Kokio dydžio?,100,"aš pamaniau, kad tau per brangu","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
18,./modelis_2500,"Tai emaila paziurek,nu bet jei ant sales uzdejau antradieni tai taip ir yra greiciausiai","?, Kaip tau sekasi, Labas, kaip tu ?, Labas, kaip tu ?, Labas, kaip tu ?, Labas, kaip tu","Sales order, Bent ant sistemos dar nera, Tai tavo uždėta ir tas pats email","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
19,./modelis_2500,"Tai ant sistemos galejo ir uzmirsti uzdet,bet emaile delivery date 14?","?, 14, 14.04, 14.04.2023, 14.04","14, Yes, O organicas tai tipo clive’s pies?","[Score(precision=0.125, recall=0.1111111111111111, fmeasure=0.11764705882352941)]"
20,./modelis_2500,"Oi,sorry,galvojau savaitgalis tai laisvas,darbingos dienos tau🙂",":), Labas, kaip tau sekasi ?","ačiū, gražaus tau savatgalio :)","[Score(precision=0.25, recall=0.16666666666666666, fmeasure=0.2)]"
21,./modelis_2500,Tiek to grozio namus tvarkantis🤣,":), Tai jo, bet irgi nelabai","labas, :D","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
22,./modelis_2500,"Sveikas,kaip tu?","Labas, kaip tu ?",gali kabėti ?,"[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
23,./modelis_2500,Trumpai jo,"?, Ar jis tau pasakė, kad neturi laiko, Labas, kaip tau sekasi, ar jau laisvas ?, Labas, kaip","tuoj, ok","[Score(precision=0.0, recall=0.0, fmeasure=0.0)]"
